iter	Logloss
0	0.6377258055
1	0.5898113142
2	0.5451059496
3	0.5094010822
4	0.4764386909
5	0.4503229367
6	0.425886358
7	0.4045774586
8	0.3878750115
9	0.3724653197
10	0.3589085232
11	0.347890909
12	0.3379726935
13	0.3293014083
14	0.3214732017
15	0.3151242899
16	0.3089763019
17	0.3037624249
18	0.2989521937
19	0.294820824
20	0.2911852123
21	0.2877428792
22	0.2845041511
23	0.2819479812
24	0.2794334546
25	0.2771006498
26	0.275255267
27	0.2733634094
28	0.2716711352
29	0.2698687134
30	0.2684128802
31	0.2671154765
32	0.2658761594
33	0.2646381187
34	0.2636608362
35	0.2626527307
36	0.261835694
37	0.2608489638
38	0.2600069878
39	0.2592784169
40	0.2585385957
41	0.257903171
42	0.2573331578
43	0.2567644394
44	0.256180577
45	0.2555917324
46	0.255135838
47	0.2547001293
48	0.2542658985
49	0.2538526311
50	0.2534395971
51	0.2530970895
52	0.2527700232
53	0.2524726133
54	0.2521912348
55	0.2519116223
56	0.2516224523
57	0.2513842636
58	0.251107872
59	0.2508997423
60	0.2506741902
61	0.2504631277
62	0.2502451796
63	0.2500681382
64	0.2498997028
65	0.2497065888
66	0.2495788404
67	0.2494338116
68	0.249280973
69	0.249145122
70	0.2489877814
71	0.2488555265
72	0.2487228781
73	0.2486131789
74	0.2484968411
75	0.2483778542
76	0.2482521098
77	0.2481603956
78	0.2480790534
79	0.2479839628
80	0.2479046062
81	0.2478188169
82	0.2477425805
83	0.2476363722
84	0.2475593489
85	0.2474855649
86	0.2474173535
87	0.2473510499
88	0.2472750561
89	0.2472058106
90	0.247146292
91	0.2470848702
92	0.2470253653
93	0.2469785703
94	0.2469274518
95	0.2468831685
96	0.2468262944
97	0.2467765164
98	0.2467354998
99	0.2466831643
100	0.2466272693
101	0.2465909103
102	0.2465398466
103	0.2464963595
104	0.2464470847
105	0.2464012459
106	0.2463631163
107	0.2463205946
108	0.2462738407
109	0.2462492079
110	0.2462072123
111	0.2461767096
112	0.2461483937
113	0.2461073223
114	0.2460684515
115	0.2460193964
116	0.2459942374
117	0.2459607837
118	0.2459317541
119	0.2458873519
120	0.2458621976
121	0.2458289543
122	0.2457962874
123	0.2457596722
124	0.2457188113
125	0.2456945765
126	0.245673915
127	0.2456534364
128	0.2456249742
129	0.2456076342
130	0.2455786321
131	0.2455348568
132	0.2455107867
133	0.2454838892
134	0.2454517805
135	0.2454284471
136	0.2454042535
137	0.2453834135
138	0.2453595311
139	0.2453320296
140	0.2453112674
141	0.2452945817
142	0.2452726666
143	0.2452526822
144	0.2452159892
145	0.2451848825
146	0.2451635484
147	0.2451480797
148	0.2451073148
149	0.2450903272
150	0.2450757552
151	0.2450578022
152	0.2450425439
153	0.2450229301
154	0.245011515
155	0.2449998529
156	0.2449872482
157	0.2449531173
158	0.2449262747
159	0.2449155368
160	0.2449023008
161	0.2448896229
162	0.2448792372
163	0.244866564
164	0.2448579992
165	0.2448427227
166	0.2448274599
167	0.244811918
168	0.2447987186
169	0.2447894858
170	0.2447716106
171	0.2447511275
172	0.2447416477
173	0.2447166809
174	0.2447067482
175	0.2446853089
176	0.2446753258
177	0.2446573545
178	0.2446356635
179	0.2446294092
180	0.2445955529
181	0.2445860365
182	0.2445583063
183	0.2445458984
184	0.2445391637
185	0.244531331
186	0.2445220662
187	0.2445084413
188	0.2444945694
189	0.2444821386
190	0.2444730568
191	0.2444568607
192	0.2444476005
193	0.2444361259
194	0.2444285449
195	0.2444217736
196	0.2444044977
197	0.2443915957
198	0.2443803178
199	0.2443649132
200	0.2443521942
201	0.2443412778
202	0.2443222953
203	0.2443112554
204	0.2442980606
205	0.2442933802
206	0.2442853233
207	0.2442747408
208	0.2442631656
209	0.2442538139
210	0.2442410538
211	0.2442346073
212	0.2442200354
213	0.2442148654
214	0.2442068497
215	0.2441980104
216	0.2441803319
217	0.2441717717
218	0.2441624338
219	0.2441541252
220	0.2441477291
221	0.2441413056
222	0.2441326951
223	0.2441237185
224	0.2441098374
225	0.2441024988
226	0.2440811602
227	0.2440636143
228	0.2440528215
229	0.2440457208
230	0.2440405096
231	0.2440327639
232	0.2440231468
233	0.2440079435
234	0.2439980565
235	0.2439889153
236	0.243978612
237	0.2439705002
238	0.2439633034
239	0.2439519295
240	0.2439418824
241	0.2439321326
242	0.2439148064
243	0.2438956959
244	0.243884052
245	0.2438681395
246	0.2438563172
247	0.243848759
248	0.2438376505
249	0.24381197
250	0.2437998869
251	0.2437943418
252	0.2437858228
253	0.2437577952
254	0.2437515501
255	0.2437421343
256	0.2437364657
257	0.2437268624
258	0.2437171813
259	0.2437105793
260	0.2437044989
261	0.243694804
262	0.2436888014
263	0.2436752223
264	0.2436612268
265	0.2436535084
266	0.2436318358
267	0.2436091977
268	0.2435991415
269	0.2435821721
270	0.2435670374
271	0.2435564687
272	0.2435455844
273	0.2435333046
274	0.2435255359
275	0.2435166326
276	0.2435084064
277	0.2435001116
278	0.2434864409
279	0.2434812024
280	0.2434441113
281	0.243433227
282	0.2434246027
283	0.2434063157
284	0.2433659855
285	0.2433474422
286	0.2433305415
287	0.2433246761
288	0.2433138558
289	0.2433037767
290	0.2432963877
291	0.2432772772
292	0.2432613281
293	0.2432537562
294	0.243236892
295	0.2432251933
296	0.2432105618
297	0.2432031729
298	0.2431833852
299	0.243173846
300	0.2431613283
301	0.2431529968
302	0.2431164182
303	0.2431051587
304	0.2430954868
305	0.2430840213
306	0.2430695821
307	0.2430575539
308	0.2430477218
309	0.2430335982
310	0.2430262871
311	0.2430108962
312	0.242995217
313	0.242981949
314	0.242971696
315	0.2429590639
316	0.2429493828
317	0.242940054
318	0.2429235559
319	0.2429175669
320	0.2429098486
321	0.2429001812
322	0.2428850099
323	0.242864202
324	0.2428518947
325	0.2428356848
326	0.2428247181
327	0.2428101599
328	0.2427983925
329	0.2427859983
330	0.2427696649
331	0.2427417243
332	0.2427246131
333	0.242713262
334	0.2427052829
335	0.242691873
336	0.2426840769
337	0.2426695233
338	0.2426602128
339	0.2426410564
340	0.2426311832
341	0.2426213465
342	0.2426023504
343	0.2425888719
344	0.2425826359
345	0.2425785548
346	0.2425693496
347	0.2425616816
348	0.2425520325
349	0.2425391259
350	0.2425280677
351	0.2424959407
352	0.242479804
353	0.242467968
354	0.2424618785
355	0.2424510307
356	0.242434011
357	0.242423456
358	0.2424159161
359	0.2424092272
360	0.2423994134
361	0.2423883186
362	0.2423813964
363	0.2423730833
364	0.2423653786
365	0.2423548923
366	0.2423459158
367	0.2423340295
368	0.2423284157
369	0.2423199608
370	0.2423122013
371	0.24229536
372	0.24228696
